Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , EPIP Zone,2,2,1130,6283,71,Superbuilt-up
3 BHK Apartment , Kothanur,3,3,2045,7579,155,Superbuilt-up
2 BHK Apartment , Hosa Road,2,2,1050,4190,44,Built-upArea
2 BHK Apartment , Chandapura,2,1,711,4153,25.5,Built-upArea
3 Bedroom House , Bendiganahalli,3,3,1200,7500,90,PlotArea
3 BHK Apartment , Yelahanka New Town,3,3,1879,6386,120,Built-upArea
2 BHK Apartment , BTM 1st Stage,2,2,1330,4360,58,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,1196,7107,85,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1135,5726,65,Built-upArea
2 BHK Apartment , Yelahanka,2,2,1070,5794,62,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1115,5829,65,Superbuilt-up
3 BHK Apartment , Uttarahalli,3,2,1340,5000,67,CarpetArea
3 BHK Independent Builder Floor , Gubbalala,3,2,1619,5867,95,CarpetArea
3 BHK Apartment , Chandapura,3,3,1197,4177,50,CarpetArea
1 BHK Apartment , Jalahalli East,1,1,780,6153,48,CarpetArea
1 Bedroom House , Rajarajeshwari Nagar,1,1,1876,4550,85,PlotArea
3 BHK Apartment , Thirumenahalli,3,2,1410,6028,85,CarpetArea
3 BHK Apartment , Yelahanka,3,3,1515,4950,70,Superbuilt-up
3 BHK Apartment , Vidyaranyapura,3,2,1360,6029,82,Superbuilt-up
2 BHK Apartment , Banashankari Stage I,2,2,1014,9500,95,Superbuilt-up
1 BHK Apartment , Thirupalya,1,1,500,7200,36,CarpetArea
3 BHK Apartment , Hosahalli,3,3,1117,9846,110,CarpetArea
3 BHK Apartment , Whitefield,3,3,1500,4533,68,CarpetArea
2 BHK Apartment , 8th Phase JP Nagar,2,2,1265,6956,88,Superbuilt-up
3 BHK Apartment , Doddaballapur Road,3,2,1187,3538,42,CarpetArea
2 BHK Apartment , Nelamangala,2,2,1187,5897,70,Superbuilt-up
3 BHK Apartment , HSR Layout,3,3,1675,8059,135,Superbuilt-up
