,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
0,2 BHK Apartment in Maruthi Nagar,"₹ 4,171/sq.ft.",959 sq.ft. (89 sq.m.) Built-up Area,(89 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 42 L₹ 4,171/sq.ft."
1,3 BHK Apartment in 3rd Phase JP Nagar,"₹ 9,868/sq.ft.","2,280 sq.ft. (212 sq.m.) Built-up Area",(212 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 9,868/sq.ft."
2,11 Bedroom House in 8th Phase JP Nagar,"₹ 15,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,11 BHK11 Baths,"₹ 1.8 Cr₹ 15,000/sq.ft."
3,3 BHK Apartment in CV Raman Nagar,"₹ 10,507/sq.ft.","2,189 sq.ft. (203 sq.m.) Carpet Area",(203 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.3 Cr₹ 10,507/sq.ft."
4,2 BHK Apartment in CV Raman Nagar,"₹ 5,579/sq.ft.","1,165 sq.ft. (108 sq.m.) Carpet Area",(108 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 5,579/sq.ft."
5,11 Bedroom House in Chikkalasandra,"₹ 8,750/sq.ft.","1,973 sq.ft. (183 sq.m.) Plot Area",(183 sq.m.) Plot Area,11 BHK11 Baths,"₹ 3.5 Cr₹ 8,750/sq.ft."
6,5 Bedroom House in Chandra Layout,"₹ 21,428/sq.ft.","3,500 sq.ft. (325 sq.m.) Plot Area",(325 sq.m.) Plot Area,5 BHK6 Baths,"₹ 7.5 Cr₹ 21,428/sq.ft."
7,3 BHK Apartment in Spencer Road,"₹ 13,043/sq.ft.","2,300 sq.ft. (214 sq.m.) Super built-up Area",(214 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3 Cr₹ 13,043/sq.ft."
8,2 BHK Apartment in CV Raman Nagar,"₹ 5,391/sq.ft.","1,150 sq.ft. (107 sq.m.) Carpet Area",(107 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 62 L₹ 5,391/sq.ft."
9,5 Bedroom House in Suragajakkanahalli,"₹ 3,429/sq.ft.","3,500 sq.ft. (325 sq.m.) Built-up Area",(325 sq.m.) Built-up Area,5 BHK4 Baths,"₹ 1.4 Cr₹ 3,429/sq.ft."
10,2 BHK Apartment in 6th Block Jayanagar,"₹ 6,568/sq.ft.","1,065 sq.ft. (99 sq.m.) Built-up Area",(99 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 69.95 L₹ 6,568/sq.ft."
11,3 BHK Apartment in Sarjapur Road,"₹ 7,049/sq.ft.",922 sq.ft. (86 sq.m.) Super built-up Area,(86 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 65 L₹ 7,049/sq.ft."
12,3 BHK Apartment in Thanisandra,"₹ 7,804/sq.ft.","2,050 sq.ft. (190 sq.m.) Super built-up Area",(190 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.6 Cr₹ 7,804/sq.ft."
13,2 Bedroom House in Bannerghatta Road,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,2 BHK2 Baths,"₹ 72 L₹ 6,000/sq.ft."
14,12 Bedroom House in Subbannaiah Palya,"₹ 20,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,12 BHK12 Baths,"₹ 2.51 Cr₹ 20,916/sq.ft."
15,2 Bedroom House in Sarjapur Road,"₹ 10,114/sq.ft.","1,483 sq.ft. (138 sq.m.) Plot Area",(138 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 10,114/sq.ft."
16,Residential land / Plot in Kengeri,"₹ 7,020/sq.ft.","3,675 sq.ft. (341 sq.m.) Plot Area",(341 sq.m.) Plot Area,,"₹ 2.58 Cr₹ 7,020/sq.ft."
17,6 Bedroom House in Mico Layout,"₹ 6,562/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,6 BHK7 Baths,"₹ 4.2 Cr₹ 6,562/sq.ft."
18,9 Bedroom House in OMBR Layout,"₹ 5,500/sq.ft.","4,000 sq.ft. (372 sq.m.) Built-up Area",(372 sq.m.) Built-up Area,9 BHK8 Baths,"₹ 2.2 Cr₹ 5,500/sq.ft."
19,2 BHK Apartment in Jalahalli East,"₹ 6,008/sq.ft.","1,165 sq.ft. (108 sq.m.) Built-up Area",(108 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 70 L₹ 6,008/sq.ft."
20,2 BHK Apartment in Billekahalli,"₹ 8,592/sq.ft.","1,222 sq.ft. (114 sq.m.) Built-up Area",(114 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.05 Cr₹ 8,592/sq.ft."
21,Residential land / Plot in Devanahalli,"₹ 4,500/sq.ft.","7,200 sq.ft. (669 sq.m.) Plot Area",(669 sq.m.) Plot Area,,"₹ 3.24 Cr₹ 4,500/sq.ft."
22,Residential land / Plot in Devanahalli,"₹ 6,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 78 L₹ 6,500/sq.ft."
23,2 BHK Apartment in Horamavu,"₹ 7,219/sq.ft.","1,205 sq.ft. (112 sq.m.) Super built-up Area",(112 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 87 L₹ 7,219/sq.ft."
24,3 BHK Apartment in Budigere Cross,"₹ 6,856/sq.ft.","1,612 sq.ft. (150 sq.m.) Built-up Area",(150 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 82 L₹ 6,856/sq.ft."
25,Residential land / Plot in Hennur Road,"₹ 7,778/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 1.4 Cr₹ 7,778/sq.ft."
26,3 BHK Apartment in Kanaka Nagar,"₹ 7,067/sq.ft.","1,429 sq.ft. (133 sq.m.) Super built-up Area",(133 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.01 Cr₹ 7,067/sq.ft."
27,3 BHK Apartment in Vijayanagar,"₹ 7,200/sq.ft.","1,704 sq.ft. (158 sq.m.) Carpet Area",(158 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 7,200/sq.ft."
28,3 BHK Apartment in Kanakapura Road,"₹ 8,371/sq.ft.","1,314 sq.ft. (122 sq.m.) Super built-up Area",(122 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 8,371/sq.ft."
29,4 Bedroom House in Chandapura,"₹ 7,500/sq.ft.","4,000 sq.ft. (372 sq.m.) Plot Area",(372 sq.m.) Plot Area,4 BHK5 Baths,"₹ 2.6 Cr₹ 7,500/sq.ft."
30,2 BHK Apartment in Indira Nagar,"₹ 6,363/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 6,363/sq.ft."
31,Residential land / Plot in Sarjapur Road,"₹ 4,361/sq.ft.","2,293 sq.ft. (213 sq.m.) Plot Area",(213 sq.m.) Plot Area,,"₹ 1 Cr₹ 4,361/sq.ft."
32,2 BHK Apartment in Hebbal,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 72 L₹ 6,000/sq.ft."
33,3 BHK Apartment in Whitefield,"₹ 6,686/sq.ft.","1,645 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.1 Cr₹ 6,686/sq.ft."
34,3 BHK Apartment in Sarjapur Road,"₹ 4,718/sq.ft.","1,441 sq.ft. (134 sq.m.) Super built-up Area",(134 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 68 L₹ 4,718/sq.ft."
35,Residential land / Plot in ITC Factory,"₹ 3,000/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 72 L₹ 3,000/sq.ft."
36,3 Bedroom House in RT Nagar,"₹ 16,250/sq.ft.",800 sq.ft. (74 sq.m.) Plot Area,(74 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 16,250/sq.ft."
37,2 BHK Apartment in Kanakapura Road,"₹ 8,073/sq.ft.","1,090 sq.ft. (101 sq.m.) Carpet Area",(101 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 88 L₹ 8,073/sq.ft."
38,6 Bedroom House in T Dasarahalli,"₹ 15,416/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,6 BHK5 Baths,"₹ 1.85 Cr₹ 15,416/sq.ft."
39,Residential land / Plot in Devanahalli,"₹ 3,000/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,,"₹ 90 L₹ 3,000/sq.ft."
40,1 Bedroom House in Marathahalli,"₹ 8,333/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,1 BHK1 Bath,"₹ 1.6 Cr₹ 8,333/sq.ft."
41,3 BHK Apartment in Hebbal,"₹ 5,142/sq.ft.","1,750 sq.ft. (163 sq.m.) Super built-up Area",(163 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 5,142/sq.ft."
42,2 BHK Apartment in Kanakapura Road,"₹ 5,223/sq.ft.","1,340 sq.ft. (124 sq.m.) Super built-up Area",(124 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,223/sq.ft."
43,"2 BHK Apartment in Maruthi Nagar, Malleshpalya","₹ 7,299/sq.ft.","1,233 sq.ft. (115 sq.m.) Built-up Area",(115 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 90 L₹ 7,299/sq.ft."
44,3 BHK Apartment in Doddanagamangala,"₹ 5,990/sq.ft.","1,252 sq.ft. (116 sq.m.) Built-up Area",(116 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 70 L₹ 5,990/sq.ft."
45,Residential land / Plot in Kyalasanahalli,"₹ 2,246/sq.ft.","1,485 sq.ft. (138 sq.m.) Plot Area",(138 sq.m.) Plot Area,,"₹ 32 L₹ 2,246/sq.ft."
46,3 BHK Apartment in Kengeri,"₹ 5,283/sq.ft.","1,325 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 65 L₹ 5,283/sq.ft."
47,3 BHK Apartment in Yelahanka,"₹ 5,278/sq.ft.","1,705 sq.ft. (158 sq.m.) Built-up Area",(158 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 90 L₹ 5,278/sq.ft."
48,3 BHK Apartment in Nagarbhavi,"₹ 7,615/sq.ft.","1,300 sq.ft. (121 sq.m.) Carpet Area",(121 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 99 L₹ 7,615/sq.ft."
49,Residential land / Plot in Byadarahalli,"₹ 6,000/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 1.44 Cr₹ 6,000/sq.ft."
50,2 BHK Apartment in Mysore Road,"₹ 7,076/sq.ft.","1,074 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 7,076/sq.ft."
51,3 Bedroom House in Budigere Cross,"₹ 11,462/sq.ft.","2,505 sq.ft. (233 sq.m.) Plot Area",(233 sq.m.) Plot Area,3 BHK4 Baths,"₹ 3.37 Cr₹ 11,462/sq.ft."
52,5 Bedroom House in Kengeri Satellite Town Stage 2,"₹ 16,666/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,5 BHK5 Baths,"₹ 2.5 Cr₹ 16,666/sq.ft."
53,2 BHK Apartment in Electronic City,"₹ 6,526/sq.ft.",950 sq.ft. (88 sq.m.) Super built-up Area,(88 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 6,526/sq.ft."
54,3 BHK Apartment in Tumkur Road,"₹ 11,167/sq.ft.","1,373 sq.ft. (128 sq.m.) Super built-up Area",(128 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.1 Cr₹ 11,167/sq.ft."
55,3 Bedroom House in Mathikere,"₹ 9,281/sq.ft.","1,530 sq.ft. (142 sq.m.) Plot Area",(142 sq.m.) Plot Area,3 BHK2 Baths,"₹ 1.42 Cr₹ 9,281/sq.ft."
56,3 BHK Independent Builder Floor in Annapurneshwari Nagar,"₹ 9,782/sq.ft.","2,300 sq.ft. (214 sq.m.) Super built-up Area",(214 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 9,782/sq.ft."
57,4 Bedroom House in Basaveshwara Nagar,"₹ 18,333/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,4 BHK2 Baths,"₹ 1.1 Cr₹ 18,333/sq.ft."
58,Residential land / Plot in Whitefield,"₹ 9,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 1.14 Cr₹ 9,500/sq.ft."
59,9 Bedroom House in A Narayanapura,"₹ 4,711/sq.ft.","5,200 sq.ft. (483 sq.m.) Plot Area",(483 sq.m.) Plot Area,9 BHK9 Baths,"₹ 2.45 Cr₹ 4,711/sq.ft."
60,3 BHK Apartment in Jalahalli,"₹ 8,484/sq.ft.","1,650 sq.ft. (153 sq.m.) Carpet Area",(153 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,484/sq.ft."
61,Residential land / Plot in Abbigere,"₹ 4,200/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 75.6 L₹ 4,200/sq.ft."
62,4 Bedroom House in Rajarajeshwari Nagar,"₹ 12,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,4 BHK4 Baths,"₹ 1.5 Cr₹ 12,500/sq.ft."
63,6 Bedroom House in Surabhi Layout,"₹ 15,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,6 BHK6 Baths,"₹ 1.9 Cr₹ 15,833/sq.ft."
64,2 BHK Apartment in Bommanahalli,"₹ 4,574/sq.ft.",940 sq.ft. (87 sq.m.) Built-up Area,(87 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 43 L₹ 4,574/sq.ft."
65,5 Bedroom House in Kasturi Nagar,"₹ 24,750/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK8 Baths,"₹ 5.94 Cr₹ 24,750/sq.ft."
66,3 BHK Apartment in Electronic City,"₹ 5,866/sq.ft.","1,500 sq.ft. (139 sq.m.) Super built-up Area",(139 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 88 L₹ 5,866/sq.ft."
67,14 Bedroom House in Hongasandra,"₹ 17,786/sq.ft.","1,265 sq.ft. (118 sq.m.) Plot Area",(118 sq.m.) Plot Area,14 BHK13 Baths,"₹ 2.25 Cr₹ 17,786/sq.ft."
68,Residential land / Plot in Banashankari Stage 6,"₹ 8,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 1.02 Cr₹ 8,500/sq.ft."
69,3 BHK Apartment in Hennur Road,"₹ 7,547/sq.ft.","1,590 sq.ft. (148 sq.m.) Super built-up Area",(148 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 7,547/sq.ft."
70,Residential land / Plot in 8th Phase JP Nagar,"₹ 13,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 2 Cr₹ 13,333/sq.ft."
71,3 BHK Apartment in JP Nagar,"₹ 11,703/sq.ft.","2,119 sq.ft. (197 sq.m.) Super built-up Area",(197 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 2.48 Cr₹ 11,703/sq.ft."
72,6 Bedroom House in Uttarahalli,"₹ 6,486/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,6 BHK6 Baths,"₹ 2.4 Cr₹ 6,486/sq.ft."
73,5 Bedroom House in Banashankari Stage 3,"₹ 6,071/sq.ft.","1,950 sq.ft. (181 sq.m.) Plot Area",(181 sq.m.) Plot Area,5 BHK14 Baths,"₹ 4.25 Cr₹ 6,071/sq.ft."
74,Residential land / Plot in Sadahalli,"₹ 2,989/sq.ft.","7,025 sq.ft. (653 sq.m.) Plot Area",(653 sq.m.) Plot Area,,"₹ 2.1 Cr₹ 2,989/sq.ft."
75,2 BHK Apartment in Kudlu Gate,"₹ 5,482/sq.ft.","1,368 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 75 L₹ 5,482/sq.ft."
76,2 BHK Apartment in Atmananda Colony,"₹ 4,824/sq.ft.",995 sq.ft. (92 sq.m.) Carpet Area,(92 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 48 L₹ 4,824/sq.ft."
77,2 BHK Apartment in Cox Town,"₹ 6,781/sq.ft.","1,100 sq.ft. (102 sq.m.) Built-up Area",(102 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 74.6 L₹ 6,781/sq.ft."
78,3 BHK Apartment in 9th Phase JP Nagar,"₹ 7,500/sq.ft.","1,600 sq.ft. (149 sq.m.) Carpet Area",(149 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 7,500/sq.ft."
79,2 BHK Apartment in Kengeri Satellite Town,"₹ 5,272/sq.ft.","1,119 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 59 L₹ 5,272/sq.ft."
80,2 BHK Apartment in Rajapura,"₹ 5,217/sq.ft.",920 sq.ft. (85 sq.m.) Super built-up Area,(85 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 5,217/sq.ft."
81,3 BHK Apartment in Jakkur,"₹ 5,420/sq.ft.","1,725 sq.ft. (160 sq.m.) Built-up Area",(160 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 95 L₹ 5,420/sq.ft."
82,2 BHK Apartment in Thanisandra,"₹ 6,730/sq.ft.","1,263 sq.ft. (117 sq.m.) Super built-up Area",(117 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 6,730/sq.ft."
83,2 BHK Apartment in Mallasandra,"₹ 5,093/sq.ft.",746 sq.ft. (69 sq.m.) Built-up Area,(69 sq.m.) Built-up Area,2 BHK1 Bath,"₹ 38 L₹ 5,093/sq.ft."
84,3 Bedroom House in Sarjapur Road,"₹ 9,135/sq.ft.","2,627 sq.ft. (244 sq.m.) Built-up Area",(244 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 9,135/sq.ft."
85,Residential land / Plot in Jakkur,"₹ 6,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 82 L₹ 6,833/sq.ft."
86,2 BHK Apartment in Uttarahalli,"₹ 6,256/sq.ft.",959 sq.ft. (89 sq.m.) Super built-up Area,(89 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 6,256/sq.ft."
87,2 BHK Apartment in Jayanagar,"₹ 9,433/sq.ft.","1,060 sq.ft. (98 sq.m.) Carpet Area",(98 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1 Cr₹ 9,433/sq.ft."
88,3 Bedroom House in MS Pallya,"₹ 10,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 10,000/sq.ft."
89,3 Bedroom House in Chikka Tirupathi,"₹ 5,376/sq.ft.","2,325 sq.ft. (216 sq.m.) Plot Area",(216 sq.m.) Plot Area,3 BHK5 Baths,"₹ 1.25 Cr₹ 5,376/sq.ft."
90,Residential land / Plot in Kumaraswamy Layout,"₹ 12,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 1.44 Cr₹ 12,000/sq.ft."
91,6 Bedroom House in Jalahalli West,"₹ 11,666/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,6 BHK5 Baths,"₹ 3.5 Cr₹ 11,666/sq.ft."
92,3 BHK Apartment in Sri Balaji Krupa Layout,"₹ 5,640/sq.ft.","1,241 sq.ft. (115 sq.m.) Super built-up Area",(115 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 70 L₹ 5,640/sq.ft."
93,2 BHK Independent Builder Floor in Jakkur,"₹ 5,019/sq.ft.","1,375 sq.ft. (128 sq.m.) Carpet Area",(128 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 69 L₹ 5,019/sq.ft."
94,6 BHK Independent Builder Floor in Yelahanka New Town,"₹ 6,400/sq.ft.","5,000 sq.ft. (465 sq.m.) Super built-up Area",(465 sq.m.) Super built-up Area,6 BHK7 Baths,"₹ 3.2 Cr₹ 6,400/sq.ft."
95,2 BHK Apartment in Tata Nagar,"₹ 6,044/sq.ft.","1,307 sq.ft. (121 sq.m.) Built-up Area",(121 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 79 L₹ 6,044/sq.ft."
96,2 BHK Apartment in Varthur Road,"₹ 11,673/sq.ft.","1,285 sq.ft. (119 sq.m.) Super built-up Area",(119 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.4 Cr₹ 11,673/sq.ft."
97,2 BHK Independent Builder Floor in Ramamurthy Nagar,"₹ 3,840/sq.ft.","1,250 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 48 L₹ 3,840/sq.ft."
98,Residential land / Plot in Gollarapalya Hosahalli,"₹ 6,000/sq.ft.","1,300 sq.ft. (121 sq.m.) Plot Area",(121 sq.m.) Plot Area,,"₹ 78 L₹ 6,000/sq.ft."
99,4 Bedroom House in Malleshwaram,"₹ 27,666/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,4 BHK4 Baths,"₹ 4.15 Cr₹ 27,666/sq.ft."
100,2 BHK Apartment in Kalkere,"₹ 5,525/sq.ft.","1,122 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 5,525/sq.ft."
101,4 Bedroom House in Tumkur Road,"₹ 12,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,4 BHK4 Baths,"₹ 1.44 Cr₹ 12,000/sq.ft."
102,3 BHK Apartment in JP Nagar,"₹ 4,690/sq.ft.","1,450 sq.ft. (135 sq.m.) Super built-up Area",(135 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 68 L₹ 4,690/sq.ft."
103,11 Bedroom House in Kothanur,"₹ 18,518/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,11 BHK11 Baths,"₹ 2.5 Cr₹ 18,518/sq.ft."
104,Residential land / Plot in Upadhyaya Layout,"₹ 7,300/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 1.75 Cr₹ 7,300/sq.ft."
105,2 BHK Apartment in Rayasandra,"₹ 4,817/sq.ft.","1,287 sq.ft. (120 sq.m.) Carpet Area",(120 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 62 L₹ 4,817/sq.ft."
106,3 BHK Apartment in Kaikondrahalli,"₹ 8,000/sq.ft.","2,075 sq.ft. (193 sq.m.) Super built-up Area",(193 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.66 Cr₹ 8,000/sq.ft."
107,Residential land / Plot in Bisuvanahalli,"₹ 2,334/sq.ft.","1,199 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 28 L₹ 2,334/sq.ft."
108,7 Bedroom House in 3rd Phase JP Nagar,"₹ 35,185/sq.ft.","5,400 sq.ft. (502 sq.m.) Plot Area",(502 sq.m.) Plot Area,7 BHK9 Baths,"₹ 19 Cr₹ 35,185/sq.ft."
109,3 Bedroom Farm house in Bannerghatta,"₹ 1,837/sq.ft.","65,340 sq.ft. (6070 sq.m.) Plot Area",(6070 sq.m.) Plot Area,3 BHK4 Baths,"₹ 12 Cr₹ 1,837/sq.ft."
110,12 Bedroom House in Sahakara Nagar,"₹ 8,720/sq.ft.","1,360 sq.ft. (126 sq.m.) Plot Area",(126 sq.m.) Plot Area,12 BHK8 Baths,"₹ 4.5 Cr₹ 8,720/sq.ft."
111,3 Bedroom House in Attibele,"₹ 10,346/sq.ft.","2,600 sq.ft. (242 sq.m.) Built-up Area",(242 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 2.49 Cr₹ 10,346/sq.ft."
112,3 Bedroom House in Jnanabharathi Layout,"₹ 6,304/sq.ft.","2,300 sq.ft. (214 sq.m.) Plot Area",(214 sq.m.) Plot Area,3 BHK4 Baths,"₹ 1.45 Cr₹ 6,304/sq.ft."
113,2 BHK Apartment in Kanakapura Road,"₹ 8,820/sq.ft.",907 sq.ft. (84 sq.m.) Built-up Area,(84 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 8,820/sq.ft."
114,2 BHK Apartment in Jayamahal,"₹ 7,269/sq.ft.","1,238 sq.ft. (115 sq.m.) Carpet Area",(115 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 90 L₹ 7,269/sq.ft."
115,"8 Bedroom House in NRI Layout,Ramuthy nagar","₹ 9,444/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,8 BHK7 Baths,"₹ 1.7 Cr₹ 9,444/sq.ft."
116,3 BHK Apartment in Whitefield,"₹ 4,648/sq.ft.","1,700 sq.ft. (158 sq.m.) Super built-up Area",(158 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 79 L₹ 4,648/sq.ft."
117,3 BHK Apartment in Sarjapur Road,"₹ 5,972/sq.ft.","1,239 sq.ft. (115 sq.m.) Super built-up Area",(115 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 74 L₹ 5,972/sq.ft."
118,2 BHK Apartment in Tumkur Road,"₹ 5,159/sq.ft.",814 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 42 L₹ 5,159/sq.ft."
119,2 BHK Apartment in Nandi Durga Road,"₹ 7,462/sq.ft.","1,340 sq.ft. (124 sq.m.) Built-up Area",(124 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1 Cr₹ 7,462/sq.ft."
120,4 BHK Apartment in Cooke Town,"₹ 10,000/sq.ft.","2,600 sq.ft. (242 sq.m.) Built-up Area",(242 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 3.25 Cr₹ 10,000/sq.ft."
121,12 Bedroom House in Electronic City,"₹ 10,000/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,12 BHK8 Baths,"₹ 3 Cr₹ 10,000/sq.ft."
122,3 BHK Apartment in Devarachikkanahalli,"₹ 6,000/sq.ft.","1,575 sq.ft. (146 sq.m.) Built-up Area",(146 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 95 L₹ 6,000/sq.ft."
123,2 BHK Apartment in Yelahanka New Town,"₹ 6,582/sq.ft.","1,261 sq.ft. (117 sq.m.) Carpet Area",(117 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 83 L₹ 6,582/sq.ft."
