title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , Kalkere,2,2,1122,5525,62,Superbuilt-up
4 Bedroom House , Tumkur Road,4,4,1200,12000,144,PlotArea
3 BHK Apartment , JP Nagar,3,2,1450,4690,68,Superbuilt-up
11 Bedroom House , Kothanur,11,11,1350,18518,25,PlotArea
2 BHK Apartment , Rayasandra,2,2,1287,4817,62,CarpetArea
3 BHK Apartment , Kaikondrahalli,3,3,2075,8000,166,Superbuilt-up
7 Bedroom House , 3rd Phase JP Nagar,7,9,5400,35185,190,PlotArea
3 Bedroom Farm house , Bannerghatta,3,4,65340,1837,120,PlotArea
12 Bedroom House , Sahakara Nagar,12,8,1360,8720,45,PlotArea
3 Bedroom House , Attibele,3,4,2600,10346,249,Built-upArea
3 Bedroom House , Jnanabharathi Layout,3,4,2300,6304,145,PlotArea
2 BHK Apartment , Kanakapura Road,2,2,907,8820,80,Built-upArea
2 BHK Apartment , Jayamahal,2,2,1238,7269,90,CarpetArea
8 Bedroom House ," NRI Layout,Ramuthy nagar",8,7,1800,9444,170,PlotArea
3 BHK Apartment , Whitefield,3,3,1700,4648,79,Superbuilt-up
3 BHK Apartment , Sarjapur Road,3,3,1239,5972,74,Superbuilt-up
2 BHK Apartment , Tumkur Road,2,2,814,5159,42,Superbuilt-up
2 BHK Apartment , Nandi Durga Road,2,2,1340,7462,100,Built-upArea
4 BHK Apartment , Cooke Town,4,4,2600,10000,325,Built-upArea
12 Bedroom House , Electronic City,12,8,3000,10000,300,PlotArea
3 BHK Apartment , Devarachikkanahalli,3,3,1575,6000,95,Built-upArea
2 BHK Apartment , Yelahanka New Town,2,2,1261,6582,83,CarpetArea
2 BHK Apartment , Sahakara Nagar,2,2,1200,6583,79,Built-upArea
3 BHK Apartment , Sahakara Nagar,3,2,1345,5947,80,Superbuilt-up
2 BHK Independent Builder Floor , Domlur,2,2,1150,7826,90,Built-upArea
3 BHK Apartment , Hennur Road,3,3,1590,8176,130,Superbuilt-up
3 BHK Apartment , HBR Layout,3,3,2012,11182,225,CarpetArea
2 BHK Apartment , Tejasw,2,2,1160,5344,62,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1270,5511,70,Superbuilt-up
3 BHK Apartment , Koramangala,3,3,1200,11666,140,CarpetArea
3 BHK Apartment , Sampangi Rama Nagar,3,3,1650,7575,125,Built-upArea
2 Bedroom House , Horamavu,2,2,1004,7238,76,PlotArea
2 BHK Apartment , Bommanahalli,2,2,1038,2890,30,Superbuilt-up
3 BHK Apartment , Hoodi,3,2,1320,4469,59,Built-upArea
4 Bedroom House , Kaggadasapura,4,3,2000,8750,175,Built-upArea
2 BHK Apartment , Near International Airport,2,2,1000,10900,109,CarpetArea
3 BHK Independent Builder Floor , Frazer Town,3,3,2000,6500,130,Superbuilt-up
3 BHK Apartment , Kodihalli,3,3,1335,6516,87,Built-upArea
2 BHK Apartment , Mallasandra,2,2,1082,5914,64,CarpetArea
13 Bedroom House , Belathur,13,12,1200,20000,250,PlotArea
2 Bedroom House , Naganathapura,2,2,1200,12500,150,PlotArea
3 BHK Apartment , Near International Airport,3,2,1520,3618,55,Superbuilt-up
3 Bedroom House , Sunkadakatte,3,2,1140,5439,62,Built-upArea
2 BHK Apartment , Mysore Road,2,2,940,9255,87,Superbuilt-up
